,file path,scan results,concluded results
315,linux-master/tools/testing/selftests/x86/unwind_vdso.c,GPL-2.0-only,
316,linux-master/tools/testing/selftests/x86/trivial_program.c,No_license_found,
317,linux-master/tools/testing/selftests/x86/trivial_64bit_program.c,GPL-2.0-only,
318,linux-master/tools/testing/selftests/x86/trivial_32bit_program.c,GPL-2.0-only,
319,linux-master/tools/testing/selftests/x86/thunks.S,GPL-2.0-only,
320,linux-master/tools/testing/selftests/x86/thunks_32.S,GPL-2.0-only,
321,linux-master/tools/testing/selftests/x86/test_vsyscall.c,GPL-2.0-only,
322,linux-master/tools/testing/selftests/x86/test_syscall_vdso.c,GPL-2.0-only,
323,linux-master/tools/testing/selftests/x86/test_mremap_vdso.c,GPL-2.0-only,
324,linux-master/tools/testing/selftests/x86/test_FISTTP.c,GPL-2.0-only,
325,linux-master/tools/testing/selftests/x86/test_FCOMI.c,GPL-2.0-only,
326,linux-master/tools/testing/selftests/x86/test_FCMOV.c,GPL-2.0-only,
327,linux-master/tools/testing/selftests/x86/sysret_ss_attrs.c,GPL-2.0-only,
328,linux-master/tools/testing/selftests/x86/sysret_rip.c,GPL-2.0-only,
329,linux-master/tools/testing/selftests/x86/syscall_numbering.c,GPL-2.0-only,
330,linux-master/tools/testing/selftests/x86/syscall_nt.c,GPL-2.0-only,
331,linux-master/tools/testing/selftests/x86/syscall_arg_fault.c,GPL-2.0-only,
332,linux-master/tools/testing/selftests/x86/single_step_syscall.c,GPL-2.0-only,
333,linux-master/tools/testing/selftests/x86/sigreturn.c,GPL-2.0-only,
334,linux-master/tools/testing/selftests/x86/sigaltstack.c,GPL-2.0-only,
335,linux-master/tools/testing/selftests/x86/raw_syscall_helper_32.S,GPL-2.0-only,
336,linux-master/tools/testing/selftests/x86/ptrace_syscall.c,GPL-2.0-only,
337,linux-master/tools/testing/selftests/x86/mov_ss_trap.c,GPL-2.0-only,
338,linux-master/tools/testing/selftests/x86/Makefile,GPL-2.0-only,
339,linux-master/tools/testing/selftests/x86/ldt_gdt.c,GPL-2.0-only,
340,linux-master/tools/testing/selftests/x86/lam.c,GPL-2.0-only,
341,linux-master/tools/testing/selftests/x86/iopl.c,GPL-2.0-only,
342,linux-master/tools/testing/selftests/x86/ioperm.c,GPL-2.0-only,
343,linux-master/tools/testing/selftests/x86/helpers.h,GPL-2.0-only,
344,linux-master/tools/testing/selftests/x86/.gitignore,GPL-2.0-only,
345,linux-master/tools/testing/selftests/x86/fsgsbase_restore.c,GPL-2.0-only,
346,linux-master/tools/testing/selftests/x86/fsgsbase.c,GPL-2.0-only,
347,linux-master/tools/testing/selftests/x86/entry_from_vm86.c,GPL-2.0-only,
348,linux-master/tools/testing/selftests/x86/corrupt_xstate_header.c,GPL-2.0-only,
349,linux-master/tools/testing/selftests/x86/check_initial_reg_state.c,GPL-2.0-only,
350,linux-master/tools/testing/selftests/x86/check_cc.sh,GPL-2.0-only,
351,linux-master/tools/testing/selftests/x86/amx.c,GPL-2.0-only,
352,linux-master/tools/testing/selftests/x86,,
353,linux-master/tools/testing/selftests/wireguard/netns.sh,GPL-2.0-only,
354,linux-master/tools/testing/selftests/wireguard/qemu/Makefile,GPL-2.0-only,
355,linux-master/tools/testing/selftests/wireguard/qemu/kernel.config,No_license_found,
356,linux-master/tools/testing/selftests/wireguard/qemu/init.c,GPL-2.0-only,
357,linux-master/tools/testing/selftests/wireguard/qemu/.gitignore,GPL-2.0-only,
358,linux-master/tools/testing/selftests/wireguard/qemu/debug.config,No_license_found,
359,linux-master/tools/testing/selftests/wireguard/qemu/arch/x86_64.config,No_license_found,
360,linux-master/tools/testing/selftests/wireguard/qemu/arch/um.config,No_license_found,
361,linux-master/tools/testing/selftests/wireguard/qemu/arch/s390x.config,No_license_found,
362,linux-master/tools/testing/selftests/wireguard/qemu/arch/riscv64.config,No_license_found,
363,linux-master/tools/testing/selftests/wireguard/qemu/arch/riscv32.config,No_license_found,
364,linux-master/tools/testing/selftests/wireguard/qemu/arch/powerpc.config,No_license_found,
365,linux-master/tools/testing/selftests/wireguard/qemu/arch/powerpc64le.config,No_license_found,
366,linux-master/tools/testing/selftests/wireguard/qemu/arch/powerpc64.config,No_license_found,
367,linux-master/tools/testing/selftests/wireguard/qemu/arch/mipsel.config,No_license_found,
368,linux-master/tools/testing/selftests/wireguard/qemu/arch/mips.config,No_license_found,
369,linux-master/tools/testing/selftests/wireguard/qemu/arch/mips64el.config,No_license_found,
370,linux-master/tools/testing/selftests/wireguard/qemu/arch/mips64.config,No_license_found,
371,linux-master/tools/testing/selftests/wireguard/qemu/arch/m68k.config,No_license_found,
372,linux-master/tools/testing/selftests/wireguard/qemu/arch/i686.config,No_license_found,
373,linux-master/tools/testing/selftests/wireguard/qemu/arch/armeb.config,No_license_found,
374,linux-master/tools/testing/selftests/wireguard/qemu/arch/arm.config,No_license_found,
375,linux-master/tools/testing/selftests/wireguard/qemu/arch/aarch64.config,No_license_found,
376,linux-master/tools/testing/selftests/wireguard/qemu/arch/aarch64_be.config,No_license_found,
377,linux-master/tools/testing/selftests/wireguard/qemu/arch,,
378,linux-master/tools/testing/selftests/wireguard/qemu,,
379,linux-master/tools/testing/selftests/wireguard,,
380,linux-master/tools/testing/selftests/watchdog/watchdog-test.c,GPL-2.0-only,
381,linux-master/tools/testing/selftests/watchdog/Makefile,GPL-2.0-only,
382,linux-master/tools/testing/selftests/watchdog/.gitignore,GPL-2.0-only,
383,linux-master/tools/testing/selftests/watchdog,,
384,linux-master/tools/testing/selftests/vDSO/vdso_test_gettimeofday.c,GPL-2.0-only,
385,linux-master/tools/testing/selftests/vDSO/vdso_test_getcpu.c,GPL-2.0-only,
386,linux-master/tools/testing/selftests/vDSO/vdso_test_correctness.c,GPL-2.0-only,
387,linux-master/tools/testing/selftests/vDSO/vdso_test_clock_getres.c,GPL-2.0-only Linux-syscall-note,
388,linux-master/tools/testing/selftests/vDSO/vdso_test_abi.c,GPL-2.0-only,
389,linux-master/tools/testing/selftests/vDSO/vdso_standalone_test_x86.c,GPL-2.0-only,
390,linux-master/tools/testing/selftests/vDSO/vdso_config.h,GPL-2.0-only,
391,linux-master/tools/testing/selftests/vDSO/parse_vdso.h,GPL-2.0-only,
392,linux-master/tools/testing/selftests/vDSO/parse_vdso.c,CC0-1.0,
393,linux-master/tools/testing/selftests/vDSO/Makefile,GPL-2.0-only,
394,linux-master/tools/testing/selftests/vDSO/.gitignore,GPL-2.0-only,
395,linux-master/tools/testing/selftests/vDSO,,
396,linux-master/tools/testing/selftests/user_events/settings,No_license_found,
397,linux-master/tools/testing/selftests/user_events/perf_test.c,GPL-2.0-only,
398,linux-master/tools/testing/selftests/user_events/Makefile,GPL-2.0-only,
399,linux-master/tools/testing/selftests/user_events/ftrace_test.c,GPL-2.0-only,
400,linux-master/tools/testing/selftests/user_events/dyn_test.c,GPL-2.0-only,
401,linux-master/tools/testing/selftests/user_events/abi_test.c,GPL-2.0-only,
402,linux-master/tools/testing/selftests/user_events,,
403,linux-master/tools/testing/selftests/user/test_user_copy.sh,GPL-2.0-only,
404,linux-master/tools/testing/selftests/user/Makefile,GPL-2.0-only,
405,linux-master/tools/testing/selftests/user/config,No_license_found,
406,linux-master/tools/testing/selftests/user,,
407,linux-master/tools/testing/selftests/uevent/uevent_filtering.c,GPL-2.0-only,
408,linux-master/tools/testing/selftests/uevent/Makefile,GPL-2.0-only,
